,Year,Cost,Energy Cost,Capacity,Energy Source
307,2006,,Geothermal levelized cost of energy,8796.365,Geothermal
308,2006,0.14865257,Offshore wind levelized cost of energy,895030.3889,Hydropower
309,2006,0.14865257,Offshore wind levelized cost of energy,72277.123,Onshore wind energy
310,2006,0.14865257,Offshore wind levelized cost of energy,883.55,Offshore wind energy
311,2006,0.14865257,Offshore wind levelized cost of energy,6093.193,Solar photovoltaic
312,2006,0.14865257,Offshore wind levelized cost of energy,412.4,Concentrated solar power
313,2006,0.14865257,Offshore wind levelized cost of energy,47167.633,Bioenergy
314,2006,0.14865257,Offshore wind levelized cost of energy,8796.365,Geothermal
315,2006,,Solar photovoltaic levelized cost of energy,895030.3889,Hydropower
316,2006,,Solar photovoltaic levelized cost of energy,72277.123,Onshore wind energy
317,2006,,Solar photovoltaic levelized cost of energy,883.55,Offshore wind energy
318,2006,,Solar photovoltaic levelized cost of energy,6093.193,Solar photovoltaic
319,2006,,Solar photovoltaic levelized cost of energy,412.4,Concentrated solar power
320,2006,,Solar photovoltaic levelized cost of energy,47167.633,Bioenergy
321,2006,,Solar photovoltaic levelized cost of energy,8796.365,Geothermal
322,2006,,Concentrated solar power levelized cost of energy,895030.3889,Hydropower
323,2006,,Concentrated solar power levelized cost of energy,72277.123,Onshore wind energy
324,2006,,Concentrated solar power levelized cost of energy,883.55,Offshore wind energy
325,2006,,Concentrated solar power levelized cost of energy,6093.193,Solar photovoltaic
326,2006,,Concentrated solar power levelized cost of energy,412.4,Concentrated solar power
327,2006,,Concentrated solar power levelized cost of energy,47167.633,Bioenergy
328,2006,,Concentrated solar power levelized cost of energy,8796.365,Geothermal
329,2006,,Hydropower levelized cost of energy,895030.3889,Hydropower
330,2006,,Hydropower levelized cost of energy,72277.123,Onshore wind energy
331,2006,,Hydropower levelized cost of energy,883.55,Offshore wind energy
332,2006,,Hydropower levelized cost of energy,6093.193,Solar photovoltaic
333,2006,,Hydropower levelized cost of energy,412.4,Concentrated solar power
334,2006,,Hydropower levelized cost of energy,47167.633,Bioenergy
335,2006,,Hydropower levelized cost of energy,8796.365,Geothermal
336,2006,0.11239332,Onshore wind levelized cost of energy,895030.3889,Hydropower
337,2006,0.11239332,Onshore wind levelized cost of energy,72277.123,Onshore wind energy
338,2006,0.11239332,Onshore wind levelized cost of energy,883.55,Offshore wind energy
339,2006,0.11239332,Onshore wind levelized cost of energy,6093.193,Solar photovoltaic
340,2006,0.11239332,Onshore wind levelized cost of energy,412.4,Concentrated solar power
341,2006,0.11239332,Onshore wind levelized cost of energy,47167.633,Bioenergy
342,2006,0.11239332,Onshore wind levelized cost of energy,8796.365,Geothermal
343,2007,,Bioenergy levelized cost of energy,926127.4219,Hydropower
344,2007,,Bioenergy levelized cost of energy,90458.009,Onshore wind energy
345,2007,,Bioenergy levelized cost of energy,1094.05,Offshore wind energy
346,2007,,Bioenergy levelized cost of energy,8506.466,Solar photovoltaic
347,2007,,Bioenergy levelized cost of energy,479.0,Concentrated solar power
348,2007,,Bioenergy levelized cost of energy,50296.946,Bioenergy
349,2007,,Bioenergy levelized cost of energy,9027.365,Geothermal
350,2007,0.05007819,Geothermal levelized cost of energy,926127.4219,Hydropower
351,2007,0.05007819,Geothermal levelized cost of energy,90458.009,Onshore wind energy
352,2007,0.05007819,Geothermal levelized cost of energy,1094.05,Offshore wind energy
353,2007,0.05007819,Geothermal levelized cost of energy,8506.466,Solar photovoltaic
354,2007,0.05007819,Geothermal levelized cost of energy,479.0,Concentrated solar power
355,2007,0.05007819,Geothermal levelized cost of energy,50296.946,Bioenergy
356,2007,0.05007819,Geothermal levelized cost of energy,9027.365,Geothermal
357,2007,0.21350704,Offshore wind levelized cost of energy,926127.4219,Hydropower
358,2007,0.21350704,Offshore wind levelized cost of energy,90458.009,Onshore wind energy
359,2007,0.21350704,Offshore wind levelized cost of energy,1094.05,Offshore wind energy
360,2007,0.21350704,Offshore wind levelized cost of energy,8506.466,Solar photovoltaic
361,2007,0.21350704,Offshore wind levelized cost of energy,479.0,Concentrated solar power
362,2007,0.21350704,Offshore wind levelized cost of energy,50296.946,Bioenergy
363,2007,0.21350704,Offshore wind levelized cost of energy,9027.365,Geothermal
364,2007,,Solar photovoltaic levelized cost of energy,926127.4219,Hydropower
365,2007,,Solar photovoltaic levelized cost of energy,90458.009,Onshore wind energy
366,2007,,Solar photovoltaic levelized cost of energy,1094.05,Offshore wind energy
367,2007,,Solar photovoltaic levelized cost of energy,8506.466,Solar photovoltaic
368,2007,,Solar photovoltaic levelized cost of energy,479.0,Concentrated solar power
369,2007,,Solar photovoltaic levelized cost of energy,50296.946,Bioenergy
370,2007,,Solar photovoltaic levelized cost of energy,9027.365,Geothermal
371,2007,,Concentrated solar power levelized cost of energy,926127.4219,Hydropower
372,2007,,Concentrated solar power levelized cost of energy,90458.009,Onshore wind energy
373,2007,,Concentrated solar power levelized cost of energy,1094.05,Offshore wind energy
374,2007,,Concentrated solar power levelized cost of energy,8506.466,Solar photovoltaic
375,2007,,Concentrated solar power levelized cost of energy,479.0,Concentrated solar power
376,2007,,Concentrated solar power levelized cost of energy,50296.946,Bioenergy
377,2007,,Concentrated solar power levelized cost of energy,9027.365,Geothermal
378,2007,,Hydropower levelized cost of energy,926127.4219,Hydropower
379,2007,,Hydropower levelized cost of energy,90458.009,Onshore wind energy
380,2007,,Hydropower levelized cost of energy,1094.05,Offshore wind energy
381,2007,,Hydropower levelized cost of energy,8506.466,Solar photovoltaic
382,2007,,Hydropower levelized cost of energy,479.0,Concentrated solar power
383,2007,,Hydropower levelized cost of energy,50296.946,Bioenergy
384,2007,,Hydropower levelized cost of energy,9027.365,Geothermal
385,2007,0.10228007,Onshore wind levelized cost of energy,926127.4219,Hydropower
386,2007,0.10228007,Onshore wind levelized cost of energy,90458.009,Onshore wind energy
